TIME,RT_ROPA_T,RT_RPMS_T,RT_DEPTH_HOLE_T,RT_DEPTH_BIT_T,RT_APRES_T,RT_ECD_T,RT_MTOA_T,RT_MTIA_T,RT_MDOA_T,RT_MDIA_T,RT_MFOA_T,RT_MFIA_T,ASMECD1-T,ASMPAM3-T,ASMDEP3-T,ASMPAM2-T,ASMDEP2-T,ASMPAM1-T,ASMDEP1-T,RT_PIT_GAIN_LOSS_T,ASMECD2-T
"yyyy-MM-dd""T""HH:mm:ss.fffzzz",m/h,RPM,m,m,bar,g/cm3,degC,degC,kg/m3,kg/m3,L/min,L/min,g/cm3,bar,m,bar,m,bar,m,m3,g/cm3
2020-02-19T08:58:00.000+01:00,,,,,210.573,1.583,,,,,,,,,,,,,,,
2020-02-19T08:58:00.090+01:00,,,,,,,,,1527.841,,,,,,,,,,,,
2020-02-19T08:58:00.334+01:00,,,,,,,,,,,,,1.565,,,184.74,1187.64,202.57,1319.06,,1.585
2020-02-19T08:58:00.335+01:00,,,,,,,,,,,,,,-99.99,1.32,,,,,,
2020-02-19T08:58:01.109+01:00,0,,,,,,4.44,10,,1563.6,,,,,,,,,,,
2020-02-19T08:58:01.366+01:00,,99.673,,,,,,,,,3734.394,3457.542,,,,,,,,,
2020-02-19T08:58:02.225+01:00,,,,,,,,,,,,,1.565,-99.99,1.18,184.77,1187.5,202.57,1319.04,,1.585
2020-02-19T08:58:02.538+01:00,,,,,,,,,,,,,,,,,,,,-2.104,
2020-02-19T08:58:03.353+01:00,,99.735,,,,,,,,,3416.58,3461.664,,,,,,,,,
2020-02-19T08:58:04.117+01:00,,,1380.289,1375.365,,,,,,,,,,,,,,,,,
2020-02-19T08:58:04.234+01:00,,,,,,,,,,,,,1.563,,,184.77,1187.18,202.32,1318.74,,1.586
2020-02-19T08:58:04.261+01:00,,,,,,,,,,,,,,-99.99,0.86,,,,,,
2020-02-19T08:58:05.085+01:00,,,,,,,,,1527.841,,,,,,,,,,,,
